Name,Season,Team, Price 
NL McCullum,2011,Pune Warriors," $100,000.00 "
RV Uthappa,2011,Pune Warriors," $2,100,000.00 "
SC Ganguly,2011,Pune Warriors," $400,000.00 "
TD Paine,2011,Pune Warriors," $270,000.00 "
WD Parnell,2011,Pune Warriors," $160,000.00 "
Yuvraj Singh,2011,Pune Warriors," $1,800,000.00 "
J Botha,2011,Rajasthan Royals," $950,000.00 "
JDP Oram,2011,Rajasthan Royals," $250,000.00 "
LRPL Taylor,2011,Rajasthan Royals," $1,000,000.00 "
R Dravid,2011,Rajasthan Royals," $500,000.00 "
SK Warne,2011,Rajasthan Royals," $450,000.00 "
SR Watson,2011,Rajasthan Royals," $125,000.00 "
SW Tait,2011,Rajasthan Royals," $300,000.00 "
A Mithun,2011,Royal Challengers Bangalore," $260,000.00 "
AB de Villiers,2011,Royal Challengers Bangalore," $1,100,000.00 "
CA Pujara,2011,Royal Challengers Bangalore," $700,000.00 "
CH Gayle,2011,Royal Challengers Bangalore," $650,000.00 "
CK Langeveldt,2011,Royal Challengers Bangalore," $140,000.00 "
DL Vettori,2011,Royal Challengers Bangalore," $550,000.00 "
JJ van der Wath,2011,Royal Challengers Bangalore," $50,000.00 "
LA Pomersbach,2011,Royal Challengers Bangalore," $50,000.00 "
M Kaif,2011,Royal Challengers Bangalore," $130,000.00 "
SS Tiwary,2011,Royal Challengers Bangalore," $1,600,000.00 "
TM Dilshan,2011,Royal Challengers Bangalore," $650,000.00 "
Z Khan,2011,Royal Challengers Bangalore," $900,000.00 "
DE Bollinger,2012,Chennai Super Kings," $700,000.00 "
DJ Bravo,2012,Chennai Super Kings," $200,000.00 "
JA Morkel,2012,Chennai Super Kings," $675,000.00 "
MEK Hussey,2012,Chennai Super Kings," $425,000.00 "
MS Dhoni,2012,Chennai Super Kings," $1,500,000.00 "
R Ashwin,2012,Chennai Super Kings," $850,000.00 "
RA Jadeja,2012,Chennai Super Kings," $2,000,000.00 "
S Badrinath,2012,Chennai Super Kings," $800,000.00 "
SK Raina,2012,Chennai Super Kings," $650,000.00 "
WP Saha,2012,Chennai Super Kings," $100,000.00 "
A Mishra,2012,Deccan Chargers," $300,000.00 "
CL White,2012,Deccan Chargers," $1,100,000.00 "
DJ Harris,2012,Deccan Chargers," $70,000.00 "
DT Christian,2012,Deccan Chargers," $900,000.00 "
DW Steyn,2012,Deccan Chargers," $1,200,000.00 "
JP Duminy,2012,Deccan Chargers," $300,000.00 "
KC Sangakkara,2012,Deccan Chargers," $700,000.00 "
MS Gony,2012,Deccan Chargers," $290,000.00 "
PA Patel,2012,Deccan Chargers," $650,000.00 "
S Dhawan,2012,Deccan Chargers," $300,000.00 "
AB Agarkar,2012,Delhi Daredevils," $210,000.00 "
AD Russell,2012,Delhi Daredevils," $450,000.00 "
AJ Finch,2012,Delhi Daredevils," $300,000.00 "
DA Warner,2012,Delhi Daredevils," $750,000.00 "
DAJ Bracewell,2012,Delhi Daredevils," $50,000.00 "
DPMD Jayawardene,2012,Delhi Daredevils," $1,400,000.00 "
IK Pathan,2012,Delhi Daredevils," $1,900,000.00 "
KP Pietersen,2012,Delhi Daredevils," $1,550,000.00 "
LRPL Taylor,2012,Delhi Daredevils," $1,000,000.00 "
M Morkel,2012,Delhi Daredevils," $475,000.00 "
NV Ojha,2012,Delhi Daredevils," $270,000.00 "
RE van der Merwe,2012,Delhi Daredevils," $50,000.00 "
Y Venugopal Rao,2012,Delhi Daredevils," $700,000.00 "
AC Gilchrist,2012,Kings XI Punjab," $900,000.00 "
AM Nayar,2012,Kings XI Punjab," $800,000.00 "
Azhar Mahmood,2012,Kings XI Punjab," $200,000.00 "
DJ Hussey,2012,Kings XI Punjab," $1,400,000.00 "
JP Faulkner,2012,Kings XI Punjab," $190,000.00 "
P Kumar,2012,Kings XI Punjab," $800,000.00 "
PP Chawla,2012,Kings XI Punjab," $900,000.00 "
RJ Harris,2012,Kings XI Punjab," $325,000.00 "
RR Powar,2012,Kings XI Punjab," $180,000.00 "
SE Marsh,2012,Kings XI Punjab," $400,000.00 "
B Lee,2012,Kolkata Knight Riders," $400,000.00 "
BB McCullum,2012,Kolkata Knight Riders," $900,000.00 "
G Gambhir,2012,Kolkata Knight Riders," $2,400,000.00 "
JH Kallis,2012,Kolkata Knight Riders," $1,100,000.00 "
L Balaji,2012,Kolkata Knight Riders," $500,000.00 "
MK Tiwary,2012,Kolkata Knight Riders," $475,000.00 "
RN ten Doeschate,2012,Kolkata Knight Riders," $150,000.00 "
Shakib Al Hasan,2012,Kolkata Knight Riders," $425,000.00 "
SP Narine,2012,Kolkata Knight Riders," $700,000.00 "
YK Pathan,2012,Kolkata Knight Riders," $2,100,000.00 "
AC Blizzard,2012,Mumbai Indians," $20,000.00 "
DJ Jacobs,2012,Mumbai Indians," $190,000.00 "
DR Smith,2012,Mumbai Indians," $100,000.00 "
Harbhajan Singh,2012,Mumbai Indians," $850,000.00 "
HH Gibbs,2012,Mumbai Indians," $50,000.00 "
JEC Franklin,2012,Mumbai Indians," $100,000.00 "
KA Pollard,2012,Mumbai Indians," $750,000.00 "
KD Karthik,2012,Mumbai Indians," $900,000.00 "
MM Patel,2012,Mumbai Indians," $700,000.00 "
NLTC Perera,2012,Mumbai Indians," $650,000.00 "
RG Sharma,2012,Mumbai Indians," $2,000,000.00 "
RJ Peterson,2012,Mumbai Indians," $100,000.00 "
RP Singh,2012,Mumbai Indians," $600,000.00 "
AB Dinda,2012,Pune Warriors," $375,000.00 "
AC Thomas,2012,Pune Warriors," $100,000.00 "
CJ Ferguson,2012,Pune Warriors," $300,000.00 "
JD Ryder,2012,Pune Warriors," $150,000.00 "
M Kartik,2012,Pune Warriors," $400,000.00 "
RV Uthappa,2012,Pune Warriors," $2,100,000.00 "
SC Ganguly,2012,Pune Warriors," $400,000.00 "
WD Parnell,2012,Pune Warriors," $160,000.00 "
BJ Hodge,2012,Rajasthan Royals," $475,000.00 "
GB Hogg,2012,Rajasthan Royals," $180,000.00 "
J Botha,2012,Rajasthan Royals," $950,000.00 "
K Cooper,2012,Rajasthan Royals," $50,000.00 "
OA Shah,2012,Rajasthan Royals," $200,000.00 "
R Dravid,2012,Rajasthan Royals," $500,000.00 "
SR Watson,2012,Rajasthan Royals," $125,000.00 "
SW Tait,2012,Rajasthan Royals," $300,000.00 "
A Mithun,2012,Royal Challengers Bangalore," $260,000.00 "
AB de Villiers,2012,Royal Challengers Bangalore," $1,100,000.00 "
AB McDonald,2012,Royal Challengers Bangalore," $80,000.00 "
CA Pujara,2012,Royal Challengers Bangalore," $700,000.00 "
CH Gayle,2012,Royal Challengers Bangalore," $650,000.00 "
DL Vettori,2012,Royal Challengers Bangalore," $550,000.00 "
M Kaif,2012,Royal Challengers Bangalore," $130,000.00 "
M Muralitharan,2012,Royal Challengers Bangalore," $220,000.00 "
R Vinay Kumar,2012,Royal Challengers Bangalore," $1,000,000.00 "
SS Tiwary,2012,Royal Challengers Bangalore," $1,600,000.00 "
TM Dilshan,2012,Royal Challengers Bangalore," $650,000.00 "
Z Khan,2012,Royal Challengers Bangalore," $900,000.00 "
B Laughlin,2013,Chennai Super Kings," $20,000.00 "
CH Morris,2013,Chennai Super Kings," $625,000.00 "
DJ Bravo,2013,Chennai Super Kings," $200,000.00 "
JA Morkel,2013,Chennai Super Kings," $500,000.00 "
JO Holder,2013,Chennai Super Kings," $20,000.00 "
M Vijay,2013,Chennai Super Kings," $900,000.00 "
MEK Hussey,2013,Chennai Super Kings," $425,000.00 "
MS Dhoni,2013,Chennai Super Kings," $3,000,000.00 "
R Ashwin,2013,Chennai Super Kings," $850,000.00 "
RA Jadeja,2013,Chennai Super Kings," $2,000,000.00 "
S Badrinath,2013,Chennai Super Kings," $800,000.00 "
SK Raina,2013,Chennai Super Kings," $1,300,000.00 "
WP Saha,2013,Chennai Super Kings," $100,000.00 "
AB Agarkar,2013,Delhi Daredevils," $210,000.00 "
AD Russell,2013,Delhi Daredevils," $450,000.00 "
BMAJ Mendis,2013,Delhi Daredevils," $725,000.00 "
DA Warner,2013,Delhi Daredevils," $750,000.00 "
DPMD Jayawardene,2013,Delhi Daredevils," $1,400,000.00 "
IK Pathan,2013,Delhi Daredevils," $1,900,000.00 "
J Botha,2013,Delhi Daredevils," $950,000.00 "
M Morkel,2013,Delhi Daredevils," $475,000.00 "
NV Ojha,2013,Delhi Daredevils," $270,000.00 "
RE van der Merwe,2013,Delhi Daredevils," $50,000.00 "
V Sehwag,2013,Delhi Daredevils," $1,800,000.00 "
AC Gilchrist,2013,Kings XI Punjab," $900,000.00 "
