Name,Season,Team, Price ,Overall Performance Score
KD Karthik,2010,Delhi Daredevils," $525,000.00 ",-19.35
KD Karthik,2010,Delhi Daredevils," $525,000.00 ",515.04
KD Karthik,2010,Delhi Daredevils," $525,000.00 ",36.81
KD Karthik,2010,Delhi Daredevils," $525,000.00 ",41.65
KD Karthik,2010,Delhi Daredevils," $525,000.00 ",16.54
KD Karthik,2010,Delhi Daredevils," $525,000.00 ",71.98
MF Maharoof,2010,Delhi Daredevils," $225,000.00 ",132.60
TM Dilshan,2010,Delhi Daredevils," $250,000.00 ",30.98
TM Dilshan,2010,Delhi Daredevils," $250,000.00 ",-48.94
TM Dilshan,2010,Delhi Daredevils," $250,000.00 ",-40.45
B Lee,2010,Kings XI Punjab," $900,000.00 ",
DPMD Jayawardene,2010,Kings XI Punjab," $475,000.00 ",58.32
DPMD Jayawardene,2010,Kings XI Punjab," $475,000.00 ",12.77
DPMD Jayawardene,2010,Kings XI Punjab," $475,000.00 ",-16.66
DPMD Jayawardene,2010,Kings XI Punjab," $475,000.00 ",-24.38
DPMD Jayawardene,2010,Kings XI Punjab," $475,000.00 ",-41.82
IK Pathan,2010,Kings XI Punjab," $925,000.00 ",192.00
IK Pathan,2010,Kings XI Punjab," $925,000.00 ",-164.79
IK Pathan,2010,Kings XI Punjab," $925,000.00 ",-70.94
IK Pathan,2010,Kings XI Punjab," $925,000.00 ",199.70
KC Sangakkara,2010,Kings XI Punjab," $700,000.00 ",65.05
KC Sangakkara,2010,Kings XI Punjab," $700,000.00 ",26.08
KC Sangakkara,2010,Kings XI Punjab," $700,000.00 ",-63.20
KC Sangakkara,2010,Kings XI Punjab," $700,000.00 ",-14.76
KC Sangakkara,2010,Kings XI Punjab," $700,000.00 ",-28.97
M Kaif,2010,Kings XI Punjab," $250,000.00 ",
PP Chawla,2010,Kings XI Punjab," $400,000.00 ",-23.38
PP Chawla,2010,Kings XI Punjab," $400,000.00 ",3.32
PP Chawla,2010,Kings XI Punjab," $400,000.00 ",28.10
PP Chawla,2010,Kings XI Punjab," $400,000.00 ",-84.53
PP Chawla,2010,Kings XI Punjab," $400,000.00 ",598.13
PP Chawla,2010,Kings XI Punjab," $400,000.00 ",322.80
PP Chawla,2010,Kings XI Punjab," $400,000.00 ",50.64
PP Chawla,2010,Kings XI Punjab," $400,000.00 ",375.22
PP Chawla,2010,Kings XI Punjab," $400,000.00 ",-551.36
PP Chawla,2010,Kings XI Punjab," $400,000.00 ",-69.83
PP Chawla,2010,Kings XI Punjab," $400,000.00 ",-152.18
RR Powar,2010,Kings XI Punjab," $170,000.00 ",
RS Bopara,2010,Kings XI Punjab," $450,000.00 ",-92.70
S Sreesanth,2010,Kings XI Punjab," $625,000.00 ",-107.07
YA Abdulla,2010,Kings XI Punjab," $50,000.00 ",-89.73
AB Agarkar,2010,Kolkata Knight Riders," $350,000.00 ",
BB McCullum,2010,Kolkata Knight Riders," $700,000.00 ",3.81
BB McCullum,2010,Kolkata Knight Riders," $700,000.00 ",0.69
BB McCullum,2010,Kolkata Knight Riders," $700,000.00 ",-48.06
BB McCullum,2010,Kolkata Knight Riders," $700,000.00 ",-18.81
BB McCullum,2010,Kolkata Knight Riders," $700,000.00 ",473.13
BB McCullum,2010,Kolkata Knight Riders," $700,000.00 ",12.61
BB McCullum,2010,Kolkata Knight Riders," $700,000.00 ",277.08
DJ Hussey,2010,Kolkata Knight Riders," $625,000.00 ",-86.88
