Player,Team,batting_score,bowling_score,overall_score,Overall E(D),Season,Season_Adj,Player_team,Player_team_season
SP Narine,Kolkata Knight Riders,-0.09,1010.18,1010.09,1010.09,2012,2012,SP Narine|Kolkata Knight Riders,SP Narine|Kolkata Knight Riders|2012
SPD Smith,Pune Warriors,32.06,-1.27,30.79,30.79,2012,2012,SPD Smith|Pune Warriors,SPD Smith|Pune Warriors|2012
SR Tendulkar,Mumbai Indians,-18.45,0,-18.45,-18.45,2012,2012,SR Tendulkar|Mumbai Indians,SR Tendulkar|Mumbai Indians|2012
SR Watson,Rajasthan Royals,48.93,273.08,322.01,322.01,2012,2012,SR Watson|Rajasthan Royals,SR Watson|Rajasthan Royals|2012
Shakib Al Hasan,Kolkata Knight Riders,-2.4,399.82,397.42,397.42,2012,2012,Shakib Al Hasan|Kolkata Knight Riders,Shakib Al Hasan|Kolkata Knight Riders|2012
TM Dilshan,Royal Challengers Bangalore,-43.07,2.62,-40.45,-40.44,2012,2012,TM Dilshan|Royal Challengers Bangalore,TM Dilshan|Royal Challengers Bangalore|2012
UT Yadav,Delhi Daredevils,-4.26,686.5,682.24,682.24,2012,2012,UT Yadav|Delhi Daredevils,UT Yadav|Delhi Daredevils|2012
V Kohli,Royal Challengers Bangalore,346.91,-175.18,171.73,171.73,2012,2012,V Kohli|Royal Challengers Bangalore,V Kohli|Royal Challengers Bangalore|2012
V Pratap Singh,Deccan Chargers,-0.72,246.39,245.67,245.67,2012,2012,V Pratap Singh|Deccan Chargers,V Pratap Singh|Deccan Chargers|2012
V Sehwag,Delhi Daredevils,112.98,1.86,114.84,114.84,2012,2012,V Sehwag|Delhi Daredevils,V Sehwag|Delhi Daredevils|2012
Z Khan,Royal Challengers Bangalore,-4.86,-1644.48,-1649.34,-1649.34,2012,2012,Z Khan|Royal Challengers Bangalore,Z Khan|Royal Challengers Bangalore|2012
A Mishra,Sunrisers Hyderabad,135.97,-566.57,-430.6,-430.6,2013,2013,A Mishra|Sunrisers Hyderabad,A Mishra|Sunrisers Hyderabad|2013
A Nehra,Delhi Daredevils,-3.69,48.75,45.06,45.06,2013,2013,A Nehra|Delhi Daredevils,A Nehra|Delhi Daredevils|2013
AB Dinda,Pune Warriors,3.3,-1619.49,-1616.19,-1616.19,2013,2013,AB Dinda|Pune Warriors,AB Dinda|Pune Warriors|2013
AB de Villiers,Royal Challengers Bangalore,108.6,0,108.6,108.6,2013,2013,AB de Villiers|Royal Challengers Bangalore,AB de Villiers|Royal Challengers Bangalore|2013
AC Gilchrist,Kings XI Punjab,23.07,1.56,24.63,24.63,2013,2013,AC Gilchrist|Kings XI Punjab,AC Gilchrist|Kings XI Punjab|2013
AJ Finch,Pune Warriors,475.92,-22.16,453.76,453.76,2013,2013,AJ Finch|Pune Warriors,AJ Finch|Pune Warriors|2013
AM Rahane,Rajasthan Royals,-69.42,0,-69.42,-69.42,2013,2013,AM Rahane|Rajasthan Royals,AM Rahane|Rajasthan Royals|2013
AT Rayudu,Mumbai Indians,-25.93,0,-25.93,-25.93,2013,2013,AT Rayudu|Mumbai Indians,AT Rayudu|Mumbai Indians|2013
Azhar Mahmood,Kings XI Punjab,11.15,213.23,224.38,224.38,2013,2013,Azhar Mahmood|Kings XI Punjab,Azhar Mahmood|Kings XI Punjab|2013
B Kumar,Pune Warriors,9.53,-575.45,-565.92,-565.92,2013,2013,B Kumar|Pune Warriors,B Kumar|Pune Warriors|2013
